timestamp,level,message,user_id,client_id,rid,error_code,close_reason,metadata
2026-09-02T13:03:54.929Z,info,POST /api/admin/v1/schema,,,h/01a06238-064a-76b9-9b7f-fc9f63731536,,,"{""duration_ms"":998,""method"":""POST"",""path"":""/api/admin/v1/schema"",""route"":""/api/admin/v1/schema"",""status"":200}"
2026-09-02T13:03:53.593Z,info,POST /sync/stream,,,h/01a06238-04f7-734e-ac1f-a0e1e5e3f87c,,,"{""duration_ms"":2,""method"":""POST"",""path"":""/sync/stream"",""route"":""/sync/stream"",""status"":401}"
2026-09-02T13:03:53.592Z,error,"Request failed [PSYNC_S2105] Unexpected ""aud"" claim value: ""authenticated""",,,h/01a06238-04f7-734e-ac1f-a0e1e5e3f87c,PSYNC_S2105,,"{""configurationDetails"":""Current configuration allows these audience values: [\""https://6a81eecc53f73afec8aa2271.powersync.journeyapps.com\""]"",""errorData"":{""code"":""PSYNC_S2105"",""description"":""Unexpected \""aud\"" claim value: \""authenticated\"""",""name"":""AuthorizationError"",""status"":401},""is_service_error"":true,""name"":""AuthorizationError"",""route"":""/sync/stream"",""tokenDetails"":""<header: {\""alg\"":\""ES256\"",\""kid\"":\""07924217-4c5b-44d2-b19e-332142dd8dc3\"",\""typ\"":\""JWT\""} payload: {\""iss\"":\""https://piihvkgtgjpatwrajidu.supabase.co/auth/v1\"",\""sub\"":\""c7ece92e-1134-449d-800b-f6b86a36903f\"",\""aud\"":\""authenticated\"",\""exp\"":1788357746,\""iat\"":1788354146,\""email\"":\""\"",\""phone\"":\""\"",\""app_metadata\"":{},\""user_metadata\"":{},\""role\"":\""authenticated\"",\""aal\"":\""aal1\"",\""amr\"":[{\""method\"":\""anonymous\"",\""timestamp\"":1788349812}],\""session_id\"":\""2dab176e-cb1d-446f-88af-e6e386c2c2a2\"",\""is_anonymous\"":true}>""}"
2026-09-02T13:03:49.134Z,info,POST /api/admin/v1/diagnostics,,,h/01a06237-e555-75bb-ada0-2aec35dfe84c,,,"{""duration_ms"":3641,""method"":""POST"",""path"":""/api/admin/v1/diagnostics"",""route"":""/api/admin/v1/diagnostics"",""status"":200}"
2026-09-02T13:03:48.068Z,info,POST /sync/stream,,,h/01a06237-ef62-75d2-8d6b-28ebacfafc76,,,"{""duration_ms"":2,""method"":""POST"",""path"":""/sync/stream"",""route"":""/sync/stream"",""status"":401}"
2026-09-02T13:03:48.067Z,error,"Request failed [PSYNC_S2105] Unexpected ""aud"" claim value: ""authenticated""",,,h/01a06237-ef62-75d2-8d6b-28ebacfafc76,PSYNC_S2105,,"{""configurationDetails"":""Current configuration allows these audience values: [\""https://6a81eecc53f73afec8aa2271.powersync.journeyapps.com\""]"",""errorData"":{""code"":""PSYNC_S2105"",""description"":""Unexpected \""aud\"" claim value: \""authenticated\"""",""name"":""AuthorizationError"",""status"":401},""is_service_error"":true,""name"":""AuthorizationError"",""route"":""/sync/stream"",""tokenDetails"":""<header: {\""alg\"":\""ES256\"",\""kid\"":\""07924217-4c5b-44d2-b19e-332142dd8dc3\"",\""typ\"":\""JWT\""} payload: {\""iss\"":\""https://piihvkgtgjpatwrajidu.supabase.co/auth/v1\"",\""sub\"":\""c7ece92e-1134-449d-800b-f6b86a36903f\"",\""aud\"":\""authenticated\"",\""exp\"":1788357746,\""iat\"":1788354146,\""email\"":\""\"",\""phone\"":\""\"",\""app_metadata\"":{},\""user_metadata\"":{},\""role\"":\""authenticated\"",\""aal\"":\""aal1\"",\""amr\"":[{\""method\"":\""anonymous\"",\""timestamp\"":1788349812}],\""session_id\"":\""2dab176e-cb1d-446f-88af-e6e386c2c2a2\"",\""is_anonymous\"":true}>""}"
2026-09-02T13:03:47.762Z,info,POST /api/admin/v1/schema,,,h/01a06237-ea4b-76dd-b279-321f66694c09,,,"{""duration_ms"":999,""method"":""POST"",""path"":""/api/admin/v1/schema"",""route"":""/api/admin/v1/schema"",""status"":200}"
2026-09-02T13:03:42.526Z,info,POST /sync/stream,,,h/01a06237-d9bc-733f-b9ea-048b7c8b3633,,,"{""duration_ms"":2,""method"":""POST"",""path"":""/sync/stream"",""route"":""/sync/stream"",""status"":401}"
2026-09-02T13:03:42.525Z,error,"Request failed [PSYNC_S2105] Unexpected ""aud"" claim value: ""authenticated""",,,h/01a06237-d9bc-733f-b9ea-048b7c8b3633,PSYNC_S2105,,"{""configurationDetails"":""Current configuration allows these audience values: [\""https://6a81eecc53f73afec8aa2271.powersync.journeyapps.com\""]"",""errorData"":{""code"":""PSYNC_S2105"",""description"":""Unexpected \""aud\"" claim value: \""authenticated\"""",""name"":""AuthorizationError"",""status"":401},""is_service_error"":true,""name"":""AuthorizationError"",""route"":""/sync/stream"",""tokenDetails"":""<header: {\""alg\"":\""ES256\"",\""kid\"":\""07924217-4c5b-44d2-b19e-332142dd8dc3\"",\""typ\"":\""JWT\""} payload: {\""iss\"":\""https://piihvkgtgjpatwrajidu.supabase.co/auth/v1\"",\""sub\"":\""c7ece92e-1134-449d-800b-f6b86a36903f\"",\""aud\"":\""authenticated\"",\""exp\"":1788357746,\""iat\"":1788354146,\""email\"":\""\"",\""phone\"":\""\"",\""app_metadata\"":{},\""user_metadata\"":{},\""role\"":\""authenticated\"",\""aal\"":\""aal1\"",\""amr\"":[{\""method\"":\""anonymous\"",\""timestamp\"":1788349812}],\""session_id\"":\""2dab176e-cb1d-446f-88af-e6e386c2c2a2\"",\""is_anonymous\"":true}>""}"
2026-09-02T13:03:36.829Z,info,POST /sync/stream,,,h/01a06237-c37b-733c-b067-eaffb654c94d,,,"{""duration_ms"":2,""method"":""POST"",""path"":""/sync/stream"",""route"":""/sync/stream"",""status"":401}"
